,e0b9d79758b - initial,,,,,,408a28e7676 - sup json,,,,,,01b8046c58e - WithName WithValues,,,,,,32596ed3ef9 - only v>3,,,,,,f7ac1e31be7 - no WithName,,,,,
,Average,Perc50,Perc90,Perc95,Perc99,Unit,Average,Perc50,Perc90,Perc95,Perc99,Unit,Average,Perc50,Perc90,Perc95,Perc99,Unit,Average,Perc50,Perc90,Perc95,Perc99,Unit,Average,Perc50,Perc90,Perc95,Perc99,Unit
BenchmarkPerfScheduling/SchedulingBasic/500Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SchedulingThroughput,500,448,552,552,552,pods/s,952,952,952,952,952,pods/s,816,816,816,816,816,pods/s,1000,1000,1000,1000,1000,pods/s,1000,1000,1000,1000,1000,pods/s
BenchmarkPerfScheduling/SchedulingBasic/500Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_framework_extension_point_duration_seconds,0.422279218,0.309762533,0.904347826,1.339130435,2.488888889,ms,2.786266042,1.894454383,4.98630137,7.726027397,17.77777778,ms,0.471082742,0.325219573,0.8,1.406060606,4.48,ms,2.509231943,1.621118012,3.652173913,7.870967742,24.53333333,ms,0.187664343,0.153272727,0.379874214,0.591549296,1.1,ms
BenchmarkPerfScheduling/SchedulingBasic/500Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_framework_extension_point_duration_seconds,0.974794319,0.745365854,1.662337662,2.701298701,5.894736842,ms,459.8357205,462.3622047,986.4220183,1133.211009,1250.642202,ms,0.533049636,0.343884892,0.912820513,1.425641026,4.363636364,ms,372.1953386,400.11994,592.023988,616.011994,635.2023988,ms,0.411084792,0.323915737,0.735135135,1.187878788,2.338461538,ms
BenchmarkPerfScheduling/SchedulingBasic/500Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_scheduling_attempt_duration_seconds,4.66753078,3.751072961,8.444444444,12.88888889,21.33333333,ms,0.27015746,0.169616027,0.56,0.76,1.6,ms,2.703635249,1.8,4.281690141,7.098591549,25.84615385,ms,0.223102424,0.158064516,0.386666667,0.662295082,1.777777778,ms,2.144693409,1.599520384,3.434782609,6.461538462,14.25,ms
BenchmarkPerfScheduling/SchedulingBasic/500Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_pod_scheduling_duration_seconds,764.0221132,758.7628866,1340.952381,1950.47619,2438.095238,ms,0.572940693,0.377935943,1.12,1.52,3.054545455,ms,501.640331,491.8377088,1070.849673,1175.424837,1259.084967,ms,0.471093356,0.330718954,0.794160584,1.318918919,2.844444444,ms,337.6169418,348.56102,581.712204,610.856102,634.1712204,ms
BenchmarkPerfScheduling/SchedulingBasic/5000Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SchedulingThroughput,500,467,533,533,533,pods/s,500,451,549,549,549,pods/s,500,461,539,539,539,pods/s,500,182,818,818,818,pods/s,500,167,833,833,833,pods/s
BenchmarkPerfScheduling/SchedulingBasic/5000Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_scheduling_attempt_duration_seconds,3.393393572,2.74912892,5.906976744,9.212121212,27.29411765,ms,3.467460502,3.077389985,6.782608696,9.306122449,15.83673469,ms,845.0690802,856.1220044,1906.938776,2233.469388,2494.693878,ms,2.504480464,1.963391137,4.23255814,6.558139535,12.23529412,ms,555.8220575,548.9230769,1115.475578,1197.737789,1263.547558,ms
BenchmarkPerfScheduling/SchedulingBasic/5000Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_pod_scheduling_duration_seconds,796.9717104,853.3333333,1194.666667,1237.333333,1271.466667,ms,792.2107462,782.3728814,1597.593985,2078.796992,2463.759398,ms,0.705231261,0.605988024,0.79760479,2.084848485,5.92,ms,560.3033244,561.2565445,1122.364532,1201.182266,1264.236453,ms,0.273594228,0.179617834,0.612173913,0.786086957,1.538461538,ms
BenchmarkPerfScheduling/SchedulingBasic/5000Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_framework_extension_point_duration_seconds,0.40552709,0.230555556,0.714049587,1.257142857,3.2,ms,0.4208889,0.293002257,0.797560976,1.336986301,2.88,ms,0.810205802,0.625733634,1.060465116,2.210909091,5.12,ms,0.285589608,0.19057971,0.625925926,0.85106383,1.531914894,ms,0.644830847,0.609750297,0.8,1.455737705,3.2,ms
BenchmarkPerfScheduling/SchedulingBasic/5000Nodes/namespace-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_framework_extension_point_duration_seconds,0.854346668,0.642392718,1.436065574,2.530232558,6.260869565,ms,0.896533066,0.688791849,1.546428571,2.565517241,5.79047619,ms,3.343682255,3.111111111,4.347826087,9.333333333,16,ms,0.649383727,0.612135922,0.944444444,1.5,2.977777778,ms,2.482558499,1.871080139,3.946268657,6.447761194,13.09090909,ms
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/500Nodes/sched-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SchedulingThroughput,200,145,255,255,255,pods/s,400,400,400,400,400,pods/s,400,400,400,400,400,pods/s,400,400,400,400,400,pods/s,400,400,400,400,400,pods/s
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/500Nodes/sched-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_pod_scheduling_duration_seconds,695.7884182,695.5251142,1163.105023,1221.552511,1268.310502,ms,3.333746445,3.104477612,5.333333333,8,15.11111111,ms,2.922002745,3.086350975,3.977715877,7.2,14,ms,2.96919877,3.063583815,3.988439306,7,14.66666667,ms,0.483718562,0.486635945,0.78156682,1.096296296,1.57037037,ms
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/500Nodes/sched-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_framework_extension_point_duration_seconds,1.053773465,0.842105263,2.156521739,2.852173913,5.6,ms,313.4811752,309.1262136,573.6787565,606.8393782,633.3678756,ms,309.8305051,308.1481481,573.3333333,606.6666667,633.3333333,ms,281.8577325,278.8990826,565.5813953,602.7906977,632.5581395,ms,0.276096241,0.224324324,0.396864865,0.741,1.9232,ms
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/500Nodes/sched-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_framework_extension_point_duration_seconds,0.66342786,0.46259542,1.386268657,1.834285714,5.7664,ms,0.622291948,0.550980392,1.2,1.442424242,2.8,ms,0.728629058,0.629230769,1.393939394,1.828571429,3.047619048,ms,0.543417353,0.535483871,0.793548387,1.292307692,3.2,ms,2.62980855,2.759124088,3.927007299,5.739130435,12.8,ms
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/500Nodes/sched-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_scheduling_attempt_duration_seconds,6.439642737,5.458333333,13.33333333,16.76190476,28.95238095,ms,0.324757426,0.273953488,0.635121951,0.922,1.5604,ms,0.344926689,0.267078189,0.398436214,0.876363636,2.802,ms,0.337443752,0.247738693,0.524615385,0.9025,2.2432,ms,239.1994432,229.9259259,536.7741935,588.3870968,629.6774194,ms
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/5000Nodes/sched-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SchedulingThroughput,142.8571429,139,193,193,193,pods/s,166.6666667,162,200,200,200,pods/s,199.2,203,241,241,241,pods/s,142.8571429,83,274,274,274,pods/s,244.5,242,265,265,265,pods/s
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/5000Nodes/sched-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_scheduling_attempt_duration_seconds,8.94503197,7.294892916,15.01796407,19.78947368,49.6,ms,8.16552362,6.787709497,14.59459459,20,45.17647059,ms,6.598410419,6.173435785,7.92974753,17.52380952,37.33333333,ms,9.10643752,6.658573596,23.80487805,30.30894309,57.41176471,ms,5.594325495,5.884892086,7.803357314,11.27272727,28.70588235,ms
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/5000Nodes/sched-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduler_pod_scheduling_duration_seconds,2878.372095,2737.686375,6529.855072,8384.927536,9868.985507,ms,2694.69401,2602.164706,5011.576471,7118.04878,9615.609756,ms,2309.868943,2160,4495.609756,4807.804878,5057.560976,ms,2276.518725,1914.529915,4978.983051,7297.471264,9651.494253,ms,1868.159063,1817.011494,4260.939597,4690.469799,5034.09396,ms
BenchmarkPerfScheduling/SchedulingPodAntiAffinity/5000Nodes/sched-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
